event_id,stock_code,stock_name,from_year,to_year,year_gap,is_consecutive_pair,from_doc_id,to_doc_id,dividend_delta,ocf_delta_cny,profit_delta_cny,risk_score_delta,base_attention_score_delta,final_attention_score_delta,cross_year_pressure_score,event_type,review_reason
000965_2020_2021,000965,天保基建,2020,2021,1,True,1209427529,1212913665,0.0,2114966872.19,-45783254.32,-4.52,-23.63,-23.63,0.0,baseline,cross-year baseline comparison
000965_2020_2022,000965,天保基建,2020,2022,2,False,1209427529,1216277657,0.2,1954271460.58,-71990343.59,6.78,-19.61,-8.61,15.0,dividend_with_profit_decline,profit declines while dividend remains
000965_2020_2023,000965,天保基建,2020,2023,3,False,1209427529,1219445524,0.2,-135064460.16,-75256923.52,-9.04,-1.06,13.94,52.5,dividend_up_cashflow_down;dividend_with_negative_cashflow;dividend_with_profit_decline;high_cross_year_pressure,dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow; profit declines while dividend remains
000965_2020_2024,000965,天保基建,2020,2024,4,False,1209427529,1222947586,0.1,1831224505.14,-78448335.06,-9.04,-24.16,-17.41,15.0,dividend_with_profit_decline,profit declines while dividend remains
000965_2021_2022,000965,天保基建,2021,2022,1,True,1212913665,1216277657,0.2,-160695411.61,-26207089.27,11.3,4.02,15.02,55.0,dividend_up_cashflow_down;dividend_with_profit_decline,dividend rises while operating cash flow declines; profit declines while dividend remains
000965_2021_2023,000965,天保基建,2021,2023,2,False,1212913665,1219445524,0.2,-2250031332.35,-29473669.2,-4.52,22.57,37.57,75.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;dividend_with_profit_decline;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow; profit declines while dividend remains
000965_2021_2024,000965,天保基建,2021,2024,3,False,1212913665,1222947586,0.1,-283742367.05,-32665080.74,-4.52,-0.53,6.22,33.75,dividend_up_cashflow_down;dividend_with_profit_decline,dividend rises while operating cash flow declines; profit declines while dividend remains
000965_2022_2023,000965,天保基建,2022,2023,1,True,1216277657,1219445524,0.0,-2089335920.74,-3266579.93,-15.82,18.55,22.55,70.0,dividend_with_negative_cashflow;dividend_with_profit_decline,cross-year base attention score rises; current-year dividend with negative operating cash flow; profit declines while dividend remains
000965_2022_2024,000965,天保基建,2022,2024,2,False,1216277657,1222947586,-0.1,-123046955.44,-6457991.47,-15.82,-4.55,-8.8,15.0,dividend_with_profit_decline,profit declines while dividend remains
000965_2023_2024,000965,天保基建,2023,2024,1,True,1219445524,1222947586,-0.1,1966288965.3,-3191411.54,0.0,-23.1,-31.35,30.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2020_2021,001979,招商蛇口,2020,2021,1,True,1209425561,1212634443,-34.6,-1644994509.22,-1880610596.58,0.0,0.0,6.0,30.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2020_2022,001979,招商蛇口,2020,2022,2,False,1209425561,1216166724,-37.7,-5448016556.5,-7988785102.56,0.0,-16.2,-10.2,15.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2020_2023,001979,招商蛇口,2020,2023,3,False,1209425561,1219330022,-36.8,3808978283.85,-5933444312.03,0.0,-10.8,-7.8,15.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2020_2024,001979,招商蛇口,2020,2024,4,False,1209425561,1222823028,-38.0647,4341582840.09,-8214293200.91,0.0,-18.39,-12.39,15.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2021_2022,001979,招商蛇口,2021,2022,1,True,1212634443,1216166724,-3.1,-3803022047.28,-6108174505.98,0.0,-16.2,-16.2,30.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2021_2023,001979,招商蛇口,2021,2023,2,False,1212634443,1219330022,-2.2,5453972793.07,-4052833715.45,0.0,-10.8,-13.8,15.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2021_2024,001979,招商蛇口,2021,2024,3,False,1212634443,1222823028,-3.4647,5986577349.31,-6333682604.33,0.0,-18.39,-18.39,15.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2022_2023,001979,招商蛇口,2022,2023,1,True,1216166724,1219330022,0.9,9256994840.35,2055340790.53,0.0,5.4,2.4,0.0,baseline,cross-year baseline comparison
001979_2022_2024,001979,招商蛇口,2022,2024,2,False,1216166724,1222823028,-0.3647,9789599396.59,-225508098.35,0.0,-2.19,-2.19,15.0,dividend_with_profit_decline,profit declines while dividend remains
001979_2023_2024,001979,招商蛇口,2023,2024,1,True,1219330022,1222823028,-1.2647,532604556.24,-2280848888.88,0.0,-7.59,-4.59,30.0,dividend_with_profit_decline,profit declines while dividend remains
002244_2020_2021,002244,滨江集团,2020,2021,1,True,1209847122,1213249284,0.0,3996559284.99,699681869.63,15.26,-3.68,2.32,30.0,baseline,cross-year liquidity-risk score rises
002244_2020_2022,002244,滨江集团,2020,2022,2,False,1209847122,1217376050,0.24,8370794511.65,1413386201.12,17.52,-16.68,-13.68,15.0,baseline,cross-year liquidity-risk score rises
