"doc_id","company_name","stock_code","report_year","announcement_title","announcement_date","cninfo_url","pdf_url","local_pdf_path","is_revision","download_status","error_message"
"1219863705","大悦城","000031","2023","2023年年度报告","2024-04-27","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000031&announcementId=1219863705&orgId=gssz0000031","https://static.cninfo.com.cn/finalpage/2024-04-27/1219863705.PDF","data/pdf/大悦城_2023_1219863705.pdf","False","success",""
"1219517434","中交地产","000736","2023","2023年年度报告","2024-04-08","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000736&announcementId=1219517434&orgId=gssz0000736","https://static.cninfo.com.cn/finalpage/2024-04-08/1219517434.PDF","data/pdf/中交地产_2023_1219517434.pdf","False","success",""
"1219865454","深振业A","000006","2023","2023年年度报告","2024-04-27","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000006&announcementId=1219865454&orgId=gssz0000006","https://static.cninfo.com.cn/finalpage/2024-04-27/1219865454.PDF","data/pdf/深振业A_2023_1219865454.pdf","False","success",""
"1219460432","沙河股份","000014","2023","2023年年度报告","2024-03-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000014&announcementId=1219460432&orgId=gssz0000014","https://static.cninfo.com.cn/finalpage/2024-03-30/1219460432.PDF","data/pdf/沙河股份_2023_1219460432.pdf","False","success",""
"1219769062","中洲控股","000042","2023","2023年年度报告","2024-04-24","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000042&announcementId=1219769062&orgId=gssz0000042","https://static.cninfo.com.cn/finalpage/2024-04-24/1219769062.PDF","data/pdf/中洲控股_2023_1219769062.pdf","False","success",""
"1219600830","粤宏远A","000573","2023","2023年年度报告","2024-04-13","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000573&announcementId=1219600830&orgId=gssz0000573","https://static.cninfo.com.cn/finalpage/2024-04-13/1219600830.PDF","data/pdf/粤宏远A_2023_1219600830.pdf","False","success",""
"1219824168","渝开发","000514","2023","2023年年度报告","2024-04-26","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000514&announcementId=1219824168&orgId=gssz0000514","https://static.cninfo.com.cn/finalpage/2024-04-26/1219824168.PDF","data/pdf/渝开发_2023_1219824168.pdf","False","success",""
"1219997738","津滨发展","000897","2023","2023年年度报告 (更正后)","2024-05-08","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000897&announcementId=1219997738&orgId=gssz0000897","https://static.cninfo.com.cn/finalpage/2024-05-08/1219997738.PDF","data/pdf/津滨发展_2023_1219997738.pdf","False","success",""
"1219597689","中国武夷","000797","2023","2023年年度报告","2024-04-13","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000797&announcementId=1219597689&orgId=gssz0000797","https://static.cninfo.com.cn/finalpage/2024-04-13/1219597689.PDF","data/pdf/中国武夷_2023_1219597689.pdf","False","success",""
"1219445524","天保基建","000965","2023","2023年年度报告","2024-03-29","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000965&announcementId=1219445524&orgId=gssz0000965","https://static.cninfo.com.cn/finalpage/2024-03-29/1219445524.PDF","data/pdf/天保基建_2023_1219445524.pdf","False","success",""
"1219854998","华远地产","600743","2023","华远地产2023年年度报告","2024-04-27","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600743&announcementId=1219854998&orgId=gssh0600743","https://static.cninfo.com.cn/finalpage/2024-04-27/1219854998.PDF","data/pdf/华远地产_2023_1219854998.pdf","False","success",""
"1219622167","大名城","600094","2023","大名城2023年年度报告","2024-04-16","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600094&announcementId=1219622167&orgId=gssh0600094","https://static.cninfo.com.cn/finalpage/2024-04-16/1219622167.PDF","data/pdf/大名城_2023_1219622167.pdf","False","success",""
"1219650634","中华企业","600675","2023","中华企业2023年年度报告","2024-04-18","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600675&announcementId=1219650634&orgId=gssh0600675","https://static.cninfo.com.cn/finalpage/2024-04-18/1219650634.PDF","data/pdf/中华企业_2023_1219650634.pdf","False","success",""
"1219910873","电子城","600658","2023","电子城 2023年年度报告","2024-04-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600658&announcementId=1219910873&orgId=gssh0600658","https://static.cninfo.com.cn/finalpage/2024-04-30/1219910873.PDF","data/pdf/电子城_2023_1219910873.pdf","False","success",""
"1219583682","浦东金桥","600639","2023","浦东金桥2023年年度报告","2024-04-12","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600639&announcementId=1219583682&orgId=gssh0600639","https://static.cninfo.com.cn/finalpage/2024-04-12/1219583682.PDF","data/pdf/浦东金桥_2023_1219583682.pdf","False","success",""
"1219907193","天地源","600665","2023","天地源股份有限公司2023年年度报告","2024-04-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600665&announcementId=1219907193&orgId=gssh0600665","https://static.cninfo.com.cn/finalpage/2024-04-30/1219907193.PDF","data/pdf/天地源_2023_1219907193.pdf","False","success",""
